"sp_image";"sp_habitat";"order";"family";"sp_common";"sp_ebird"
"Orthonyx spaldingii";"Orthonyx spaldingii";"PASSERIFORMES";"Orthonychidae";"Chowchilla";"Orthonyx spaldingii"
"Eutoxeres condamini";"Eutoxeres condamini";"CAPRIMULGIFORMES";"Trochilidae";"Buff-tailed Sicklebill";"Eutoxeres condamini"
"Aphantochroa cirrochloris";"Eupetomena cirrochloris";"CAPRIMULGIFORMES";"Trochilidae";"Sombre Hummingbird";"Eupetomena cirrochloris"
"Sporophila americana";"Sporophila americana";"PASSERIFORMES";"Thraupidae";"Wing-barred Seedeater";"Sporophila americana"
"Columbina squammata";"Columbina squammata";"COLUMBIFORMES";"Columbidae";"Scaled Dove";"Columbina squammata"
"Haematopus finschi";"Haematopus finschi";"CHARADRIIFORMES";"Haematopodidae";"South Island Oystercatcher";"Haematopus finschi"
"Diglossa humeralis";"Diglossa humeralis";"PASSERIFORMES";"Thraupidae";"Black Flowerpiercer";"Diglossa humeralis"
"Merops leschenaulti";"Merops leschenaulti";"CORACIIFORMES";"Meropidae";"Chestnut-headed Bee-eater";"Merops leschenaulti"
"Yuhina torqueola";"Staphida torqueola";"PASSERIFORMES";"Zosteropidae";"Indochinese Yuhina";"Staphida torqueola"
"Cotinga cotinga";"Cotinga cotinga";"PASSERIFORMES";"Cotingidae";"Purple-breasted Cotinga";"Cotinga cotinga"
"Basileuterus nigrocristatus";"Myiothlypis nigrocristata";"PASSERIFORMES";"Parulidae";"Black-crested Warbler";"Myiothlypis nigrocristata"
"Pyrrhura devillei";"Pyrrhura devillei";"PSITTACIFORMES";"Psittacidae";"Blaze-winged Parakeet";"Pyrrhura devillei"
"Lafresnaya lafresnayi";"Lafresnaya lafresnayi";"CAPRIMULGIFORMES";"Trochilidae";"Mountain Velvetbreast";"Lafresnaya lafresnayi"
"Anas hottentota";"Spatula hottentota";"ANSERIFORMES";"Anatidae";"Blue-billed Teal";"Spatula hottentota"
"Streptopelia capicola";"Streptopelia capicola";"COLUMBIFORMES";"Columbidae";"Ring-necked Dove";"Streptopelia capicola"
"Tyto longimembris";"Tyto longimembris";"STRIGIFORMES";"Tytonidae";"Eastern Grass-owl";"Tyto longimembris"
"Harpactes duvaucelii";"Harpactes duvaucelii";"TROGONIFORMES";"Trogonidae";"Scarlet-rumped Trogon";"Harpactes duvaucelii"
"Cuculus sparverioides";"Hierococcyx sparverioides";"CUCULIFORMES";"Cuculidae";"Large Hawk-Cuckoo";"Hierococcyx sparverioides"
"Phylloscopus subaffinis";"Phylloscopus subaffinis";"PASSERIFORMES";"Phylloscopidae";"Buff-throated Warbler";"Phylloscopus subaffinis"
"Lacedo pulchella";"Lacedo pulchella";"CORACIIFORMES";"Alcedinidae";"Banded Kingfisher";"Lacedo pulchella"
"Copsychus niger";"Copsychus niger";"PASSERIFORMES";"Muscicapidae";"White-vented Shama";"Copsychus niger"
"Leucopeza semperi";"Leucopeza semperi";"PASSERIFORMES";"Parulidae";"Semper's Warbler";"Leucopeza semperi"
"Lampornis castaneoventris";"Lampornis castaneoventris";"CAPRIMULGIFORMES";"Trochilidae";"White-throated Mountain-gem";"Lampornis castaneoventris"
"Hylocryptus rectirostris";"Clibanornis rectirostris";"PASSERIFORMES";"Furnariidae";"Chestnut-capped Foliage-gleaner";"Clibanornis rectirostris"
"Cyanicterus cyanicterus";"Cyanicterus cyanicterus";"PASSERIFORMES";"Thraupidae";"Blue-backed Tanager";"Cyanicterus cyanicterus"
"Celeus elegans";"Celeus elegans";"PICIFORMES";"Picidae";"Chestnut Woodpecker";"Celeus elegans"
"Eclectus roratus";"Eclectus roratus";"PSITTACIFORMES";"Psittacidae";"Moluccan Eclectus";"Eclectus roratus"
"Tangara chilensis";"Tangara chilensis";"PASSERIFORMES";"Thraupidae";"Paradise Tanager";"Tangara chilensis"
"Herpsilochmus longirostris";"Herpsilochmus longirostris";"PASSERIFORMES";"Thamnophilidae";"Large-billed Antwren";"Herpsilochmus longirostris"
"Vermivora luciae";"Leiothlypis luciae";"PASSERIFORMES";"Parulidae";"Lucy's Warbler";"Leiothlypis luciae"
"Attila torridus";"Attila torridus";"PASSERIFORMES";"Tyrannidae";"Ochraceous Attila";"Attila torridus"
"Athene cunicularia";"Athene cunicularia";"STRIGIFORMES";"Strigidae";"Burrowing Owl";"Athene cunicularia"
"Larus scopulinus";"Larus novaehollandiae";"CHARADRIIFORMES";"Laridae";"Silver Gull";"Chroicocephalus novaehollandiae"
"Trichodere cockerelli";"Trichodere cockerelli";"PASSERIFORMES";"Meliphagidae";"White-streaked Honeyeater";"Trichodere cockerelli"
"Illadopsis cleaveri";"Illadopsis cleaveri";"PASSERIFORMES";"Pellorneidae";"Black-capped Illadopsis";"Illadopsis cleaveri"
"Geronticus calvus";"Geronticus calvus";"PELECANIFORMES";"Threskiornithidae";"Southern Bald Ibis";"Geronticus calvus"
"Vanellus resplendens";"Vanellus resplendens";"CHARADRIIFORMES";"Charadriidae";"Andean Lapwing";"Vanellus resplendens"
"Enodes erythrophris";"Enodes erythrophris";"PASSERIFORMES";"Sturnidae";"Fiery-browed Starling";"Enodes erythrophris"
"Streptopelia semitorquata";"Streptopelia semitorquata";"COLUMBIFORMES";"Columbidae";"Red-eyed Dove";"Streptopelia semitorquata"
"Amazona tucumana";"Amazona tucumana";"PSITTACIFORMES";"Psittacidae";"Tucuman Amazon";"Amazona tucumana"
"Lophostrix cristata";"Lophostrix cristata";"STRIGIFORMES";"Strigidae";"Crested Owl";"Lophostrix cristata"
"Eudynamys melanorhynchus";"Eudynamys orientalis";"CUCULIFORMES";"Cuculidae";"Eastern Koel";"Eudynamys melanorhynchus"
"Himantornis haematopus";"Himantornis haematopus";"GRUIFORMES";"Rallidae";"Nkulengu Rail";"Himantornis haematopus"
"Pitta nympha";"Pitta nympha";"PASSERIFORMES";"Pittidae";"Fairy Pitta";"Pitta nympha"
"Crax globulosa";"Crax globulosa";"GALLIFORMES";"Cracidae";"Wattled Curassow";"Crax globulosa"
"Eunymphicus cornutus";"Eunymphicus cornutus";"PSITTACIFORMES";"Psittacidae";"Horned Parakeet";"Eunymphicus cornutus"
"Columba thomensis";"Columba thomensis";"COLUMBIFORMES";"Columbidae";"Sao Tome Olive-pigeon";"Columba thomensis"
"Lalage tricolor";"Lalage tricolor";"PASSERIFORMES";"Campephagidae";"White-winged Triller";"Lalage tricolor"
"Notiomystis cincta";"Notiomystis cincta";"PASSERIFORMES";"Notiomystidae";"Stitchbird";"Notiomystis cincta"
"Dendroica graciae";"Setophaga graciae";"PASSERIFORMES";"Parulidae";"Grace's Warbler";"Setophaga graciae"
"Coracina azurea";"Cyanograucalus azureus";"PASSERIFORMES";"Campephagidae";"Blue Cuckooshrike";"Cyanograucalus azureus"
"Yuhina diademata";"Parayuhina diademata";"PASSERIFORMES";"Zosteropidae";"White-collared Yuhina";"Parayuhina diademata"
"Erythrura viridifacies";"Erythrura viridifacies";"PASSERIFORMES";"Estrildidae";"Green-faced Parrotfinch";"Erythrura viridifacies"
"Manacus vitellinus";"Manacus vitellinus";"PASSERIFORMES";"Pipridae";"Golden-collared Manakin";"Manacus vitellinus"
"Pteroglossus viridis";"Pteroglossus viridis";"PICIFORMES";"Ramphastidae";"Green Araçari";"Pteroglossus viridis"
"Dacelo leachii";"Dacelo leachii";"CORACIIFORMES";"Alcedinidae";"Blue-winged Kookaburra";"Dacelo leachii"
"Rhipidura javanica";"Rhipidura javanica";"PASSERIFORMES";"Rhipiduridae";"Sunda Pied Fantail";"Rhipidura javanica"
"Charadrius alexandrinus";"Charadrius alexandrinus";"CHARADRIIFORMES";"Charadriidae";"Kentish Plover";"Anarhynchus alexandrinus"
"Percnostola rufifrons";"Percnostola rufifrons";"PASSERIFORMES";"Thamnophilidae";"Black-headed Antbird";"Percnostola rufifrons"
"Lanius gubernator";"Lanius gubernator";"PASSERIFORMES";"Laniidae";"Emin's Shrike";"Lanius gubernator"
"Ploceus aurantius";"Ploceus aurantius";"PASSERIFORMES";"Ploceidae";"Orange Weaver";"Ploceus aurantius"
"Sicalis taczanowskii";"Sicalis taczanowskii";"PASSERIFORMES";"Thraupidae";"Sulphur-throated Finch";"Sicalis taczanowskii"
"Strepera graculina";"Strepera graculina";"PASSERIFORMES";"Artamidae";"Pied Currawong";"Strepera graculina"
"Urothraupis stolzmanni";"Urothraupis stolzmanni";"PASSERIFORMES";"Thraupidae";"Black-backed Bush Tanager";"Urothraupis stolzmanni"
"Apalharpactes mackloti";"Apalharpactes mackloti";"TROGONIFORMES";"Trogonidae";"Sumatran Trogon";"Apalharpactes mackloti"
"Dendroica aestiva";"Setophaga petechia";"PASSERIFORMES";"Parulidae";"American Yellow Warbler";"Setophaga petechia"
"Geothlypis chiriquensis";"Geothlypis chiriquensis";"PASSERIFORMES";"Parulidae";"Chiriqui Yellowthroat";"Geothlypis semiflava"
"Anthochaera paradoxa";"Anthochaera paradoxa";"PASSERIFORMES";"Meliphagidae";"Yellow Wattlebird";"Anthochaera paradoxa"
"Dicaeum hypoleucum";"Dicaeum hypoleucum";"PASSERIFORMES";"Dicaeidae";"Buzzing Flowerpecker";"Dicaeum hypoleucum"
"Sypheotides indicus";"Sypheotides indicus";"OTIDIFORMES";"Otididae";"Lesser Florican";"Sypheotides indicus"
"Myzomela rubratra";"Myzomela rubratra";"PASSERIFORMES";"Meliphagidae";"Micronesian Myzomela";"Myzomela rubratra"
"Neopelma aurifrons";"Neopelma aurifrons";"PASSERIFORMES";"Pipridae";"Wied's Tyrant-manakin";"Neopelma aurifrons"
"Saxicola tectes";"Saxicola tectes";"PASSERIFORMES";"Muscicapidae";"Reunion Stonechat";"Saxicola tectes"
"Hymenolaimus malacorhynchos";"Hymenolaimus malacorhynchos";"ANSERIFORMES";"Anatidae";"Blue Duck";"Hymenolaimus malacorhynchos"
"Hirundo fuliginosa";"Atronanus fuliginosus";"PASSERIFORMES";"Hirundinidae";"Forest Swallow";"Atronanus fuliginosus"
"Dendrocolaptes sanctithomae";"Dendrocolaptes sanctithomae";"PASSERIFORMES";"Furnariidae";"Western Barred Woodcreeper";"Dendrocolaptes sanctithomae"
"Myzomela erythrocephala";"Myzomela erythrocephala";"PASSERIFORMES";"Meliphagidae";"Red-headed Myzomela";"Myzomela erythrocephala"
"Pseudoscops grammicus";"Pseudoscops grammicus";"STRIGIFORMES";"Strigidae";"Jamaican Owl";"Asio grammicus"
"Calidris acuminata";"Calidris acuminata";"CHARADRIIFORMES";"Scolopacidae";"Sharp-tailed Sandpiper";"Calidris acuminata"
"Onychorhynchus coronatus";"Onychorhynchus coronatus";"PASSERIFORMES";"Tityridae";"Amazonian Royal Flycatcher";"Onychorhynchus coronatus"
"Macropygia nigrirostris";"Macropygia nigrirostris";"COLUMBIFORMES";"Columbidae";"Black-billed Cuckoo-Dove";"Macropygia nigrirostris"
"Gallicolumba jobiensis";"Pampusana jobiensis";"COLUMBIFORMES";"Columbidae";"White-breasted Ground Dove";"Pampusana jobiensis"
"Accipiter henstii";"Accipiter henstii";"ACCIPITRIFORMES";"Accipitridae";"Henst's Goshawk";"Astur henstii"
"Rhipidura atra";"Rhipidura atra";"PASSERIFORMES";"Rhipiduridae";"Black Fantail";"Rhipidura atra"
"Prinia somalica";"Prinia somalica";"PASSERIFORMES";"Cisticolidae";"Pale Prinia";"Prinia somalica"
"Phoenicurus ochruros";"Phoenicurus ochruros";"PASSERIFORMES";"Muscicapidae";"Black Redstart";"Phoenicurus ochruros"
"Catharacta antarctica";"Catharacta antarctica";"CHARADRIIFORMES";"Stercorariidae";"Brown Skua";"Stercorarius antarcticus"
"Attila rufus";"Attila rufus";"PASSERIFORMES";"Tyrannidae";"Grey-hooded Attila";"Attila rufus"
"Icterus laudabilis";"Icterus laudabilis";"PASSERIFORMES";"Icteridae";"Saint Lucia Oriole";"Icterus laudabilis"
"Merops superciliosus";"Merops superciliosus";"CORACIIFORMES";"Meropidae";"Olive Bee-eater";"Merops superciliosus"
"Phoeniconaias minor";"Phoeniconaias minor";"PHOENICOPTERIFORMES";"Phoenicopteridae";"Lesser Flamingo";"Phoeniconaias minor"
"Rhodinocichla rosea";"Rhodinocichla rosea";"PASSERIFORMES";"Rhodinocichlidae";"Rosy Thrush-tanager";"Rhodinocichla rosea"
"Sula dactylatra";"Sula dactylatra";"SULIFORMES";"Sulidae";"Masked Booby";"Sula dactylatra"
"Passerina amoena";"Passerina amoena";"PASSERIFORMES";"Cardinalidae";"Lazuli Bunting";"Passerina amoena"
"Platyrinchus platyrhynchos";"Platyrinchus platyrhynchos";"PASSERIFORMES";"Tyrannidae";"White-crested Spadebill";"Platyrinchus platyrhynchos"
"Collocalia sawtelli";"Aerodramus sawtelli";"CAPRIMULGIFORMES";"Apodidae";"Atiu Swiftlet";"Aerodramus sawtelli"
"Gallinago undulata";"Gallinago undulata";"CHARADRIIFORMES";"Scolopacidae";"Giant Snipe";"Gallinago undulata"
"Snowornis subalaris";"Snowornis subalaris";"PASSERIFORMES";"Cotingidae";"Grey-tailed Piha";"Snowornis subalaris"
"Hemispingus atropileus";"Kleinothraupis atropileus";"PASSERIFORMES";"Thraupidae";"Black-capped Hemispingus";"Kleinothraupis atropileus"
"Cinclus pallasii";"Cinclus pallasii";"PASSERIFORMES";"Cinclidae";"Brown Dipper";"Cinclus pallasii"
"Empidonax occidentalis";"Empidonax occidentalis";"PASSERIFORMES";"Tyrannidae";"Cordilleran Flycatcher";"Empidonax difficilis"
"Ocyalus latirostris";"Cacicus latirostris";"PASSERIFORMES";"Icteridae";"Band-tailed Cacique";"Cacicus latirostris"
"Alipiopsitta xanthops";"Alipiopsitta xanthops";"PSITTACIFORMES";"Psittacidae";"Yellow-faced Parrot";"Alipiopsitta xanthops"
"Oncostoma cinereigulare";"Oncostoma cinereigulare";"PASSERIFORMES";"Tyrannidae";"Northern Bentbill";"Oncostoma cinereigulare"
"Coccyzus erythropthalmus";"Coccyzus erythropthalmus";"CUCULIFORMES";"Cuculidae";"Black-billed Cuckoo";"Coccyzus erythropthalmus"
"Tiaris obscurus";"Asemospiza obscura";"PASSERIFORMES";"Thraupidae";"Dull-colored Grassquit";"Asemospiza obscura"
"Metallura tyrianthina";"Metallura tyrianthina";"CAPRIMULGIFORMES";"Trochilidae";"Tyrian Metaltail";"Metallura tyrianthina"
"Ampelion rubrocristatus";"Ampelion rubrocristatus";"PASSERIFORMES";"Cotingidae";"Red-crested Cotinga";"Ampelion rubrocristatus"
"Ortalis vetula";"Ortalis vetula";"GALLIFORMES";"Cracidae";"Plain Chachalaca";"Ortalis vetula"
"Acanthisitta chloris";"Acanthisitta chloris";"PASSERIFORMES";"Acanthisittidae";"Rifleman";"Acanthisitta chloris"
"Loxia megaplaga";"Loxia megaplaga";"PASSERIFORMES";"Fringillidae";"Hispaniolan Crossbill";"Loxia megaplaga"
"Lichmera deningeri";"Lichmera deningeri";"PASSERIFORMES";"Meliphagidae";"Buru Honeyeater";"Lichmera deningeri"
"Apus pacificus";"Apus pacificus";"CAPRIMULGIFORMES";"Apodidae";"Pacific Swift";"Apus pacificus"
"Otus magicus";"Otus magicus";"STRIGIFORMES";"Strigidae";"Moluccan Scops-owl";"Otus magicus"
"Heliangelus strophianus";"Heliangelus strophianus";"CAPRIMULGIFORMES";"Trochilidae";"Gorgeted Sunangel";"Heliangelus strophianus"
"Ixobrychus flavicollis";"Ixobrychus flavicollis";"PELECANIFORMES";"Ardeidae";"Black Bittern";"Botaurus flavicollis"
"Sturnus melanopterus";"Acridotheres melanopterus";"PASSERIFORMES";"Sturnidae";"Black-winged Myna";"Acridotheres melanopterus"
"Poecilotriccus russatus";"Poecilotriccus russatus";"PASSERIFORMES";"Tyrannidae";"Ruddy Tody-flycatcher";"Poecilotriccus russatus"
"Apalis goslingi";"Apalis goslingi";"PASSERIFORMES";"Cisticolidae";"Gosling's Apalis";"Apalis goslingi"
"Aethopyga duyvenbodei";"Aethopyga duyvenbodei";"PASSERIFORMES";"Nectariniidae";"Elegant Sunbird";"Aethopyga duyvenbodei"
"Chalybura urochrysia";"Chalybura urochrysia";"CAPRIMULGIFORMES";"Trochilidae";"Bronze-tailed Plumeleteer";"Chalybura urochrysia"
"Peneothello cyanus";"Peneothello cyanus";"PASSERIFORMES";"Petroicidae";"Blue-grey Robin";"Melanodryas cyanus"
"Muscisaxicola rufivertex";"Muscisaxicola rufivertex";"PASSERIFORMES";"Tyrannidae";"Rufous-naped Ground-tyrant";"Muscisaxicola rufivertex"
"Pelagodroma marina";"Pelagodroma marina";"PROCELLARIIFORMES";"Oceanitidae";"White-faced Storm-petrel";"Pelagodroma marina"
"Thamnophilus torquatus";"Thamnophilus torquatus";"PASSERIFORMES";"Thamnophilidae";"Rufous-winged Antshrike";"Thamnophilus torquatus"
"Sitta europaea";"Sitta europaea";"PASSERIFORMES";"Sittidae";"Eurasian Nuthatch";"Sitta europaea"
"Oena capensis";"Oena capensis";"COLUMBIFORMES";"Columbidae";"Namaqua Dove";"Oena capensis"
"Picumnus dorbignyanus";"Picumnus dorbignyanus";"PICIFORMES";"Picidae";"Ocellated Piculet";"Picumnus dorbignyanus"
"Apalis cinerea";"Apalis cinerea";"PASSERIFORMES";"Cisticolidae";"Grey Apalis";"Apalis cinerea"
"Colius striatus";"Colius striatus";"COLIIFORMES";"Coliidae";"Speckled Mousebird";"Colius striatus"
"Icterus cucullatus";"Icterus cucullatus";"PASSERIFORMES";"Icteridae";"Hooded Oriole";"Icterus cucullatus"
"Pachyramphus niger";"Pachyramphus niger";"PASSERIFORMES";"Tityridae";"Jamaican Becard";"Pachyramphus niger"
"Coturnicops exquisitus";"Coturnicops exquisitus";"GRUIFORMES";"Rallidae";"Swinhoe's Rail";"Coturnicops exquisitus"
"Rhytipterna simplex";"Rhytipterna simplex";"PASSERIFORMES";"Tyrannidae";"Greyish Mourner";"Rhytipterna simplex"
"Monarcha mundus";"Symposiachrus mundus";"PASSERIFORMES";"Monarchidae";"Black-bibbed Monarch";"Symposiachrus mundus"
"Lophura erythrophthalma";"Lophura erythrophthalma";"GALLIFORMES";"Phasianidae";"Malay Crestless Fireback";"Lophura erythrophthalma"
"Odontorchilus branickii";"Odontorchilus branickii";"PASSERIFORMES";"Troglodytidae";"Grey-mantled Wren";"Odontorchilus branickii"
"Cicinnurus regius";"Cicinnurus regius";"PASSERIFORMES";"Paradisaeidae";"King Bird-of-paradise";"Cicinnurus regius"
"Myrmoborus myotherinus";"Myrmoborus myotherinus";"PASSERIFORMES";"Thamnophilidae";"Black-faced Antbird";"Myrmoborus myotherinus"
"Myioborus torquatus";"Myioborus torquatus";"PASSERIFORMES";"Parulidae";"Collared Whitestart";"Myioborus torquatus"
"Formicivora intermedia";"Formicivora grisea";"PASSERIFORMES";"Thamnophilidae";"Southern White-fringed Antwren";"Formicivora intermedia"
"Tetraogallus caucasicus";"Tetraogallus caucasicus";"GALLIFORMES";"Phasianidae";"Caucasian Snowcock";"Tetraogallus caucasicus"
"Charadrius falklandicus";"Charadrius falklandicus";"CHARADRIIFORMES";"Charadriidae";"Two-banded Plover";"Anarhynchus falklandicus"
"Sturnus sturninus";"Agropsar sturninus";"PASSERIFORMES";"Sturnidae";"Purple-backed Starling";"Agropsar sturninus"
"Dryotriorchis spectabilis";"Dryotriorchis spectabilis";"ACCIPITRIFORMES";"Accipitridae";"Congo Serpent-eagle";"Circaetus spectabilis"
"Hylophilus semicinereus";"Hylophilus semicinereus";"PASSERIFORMES";"Vireonidae";"Grey-chested Greenlet";"Hylophilus semicinereus"
"Myrmotherula longipennis";"Myrmotherula longipennis";"PASSERIFORMES";"Thamnophilidae";"Long-winged Antwren";"Myrmotherula longipennis"
"Sporophila plumbea";"Sporophila plumbea";"PASSERIFORMES";"Thraupidae";"Plumbeous Seedeater";"Sporophila plumbea"
"Arremon crassirostris";"Arremon crassirostris";"PASSERIFORMES";"Passerellidae";"Sooty-faced Finch";"Arremon crassirostris"
"Bradypterus grandis";"Bradypterus grandis";"PASSERIFORMES";"Locustellidae";"Dja River Swamp-warbler";"Bradypterus grandis"
"Sittasomus griseicapillus";"Sittasomus griseicapillus";"PASSERIFORMES";"Furnariidae";"Eastern Olivaceous Woodcreeper";"Sittasomus griseicapillus"
"Dumetia hyperythra";"Dumetia hyperythra";"PASSERIFORMES";"Timaliidae";"Tawny-bellied Babbler";"Dumetia hyperythra"
"Barnardius zonarius";"Barnardius zonarius";"PSITTACIFORMES";"Psittacidae";"Australian Ringneck";"Barnardius zonarius"
"Amazilia chionogaster";"Elliotomyia chionogaster";"CAPRIMULGIFORMES";"Trochilidae";"White-bellied Hummingbird";"Elliotomyia chionogaster"
"Polioptila lembeyei";"Polioptila lembeyei";"PASSERIFORMES";"Polioptilidae";"Cuban Gnatcatcher";"Polioptila lembeyei"
"Orthorhyncus cristatus";"Orthorhyncus cristatus";"CAPRIMULGIFORMES";"Trochilidae";"Antillean Crested Hummingbird";"Orthorhyncus cristatus"
"Rhynchostruthus percivali";"Rhynchostruthus percivali";"PASSERIFORMES";"Fringillidae";"Arabian Grosbeak";"Rhynchostruthus percivali"
"Urocissa flavirostris";"Urocissa flavirostris";"PASSERIFORMES";"Corvidae";"Yellow-billed Blue Magpie";"Urocissa flavirostris"
"Nesopsar nigerrimus";"Nesopsar nigerrimus";"PASSERIFORMES";"Icteridae";"Jamaican Blackbird";"Nesopsar nigerrimus"
"Corvus meeki";"Corvus meeki";"PASSERIFORMES";"Corvidae";"Bougainville Crow";"Corvus meeki"
"Megapodius eremita";"Megapodius eremita";"GALLIFORMES";"Megapodiidae";"Melanesian Scrubfowl";"Megapodius eremita"
"Margarornis rubiginosus";"Margarornis rubiginosus";"PASSERIFORMES";"Furnariidae";"Ruddy Treerunner";"Margarornis rubiginosus"
"Puffinus opisthomelas";"Puffinus opisthomelas";"PROCELLARIIFORMES";"Procellariidae";"Black-vented Shearwater";"Puffinus opisthomelas"
"Phaps elegans";"Phaps elegans";"COLUMBIFORMES";"Columbidae";"Brush Bronzewing";"Phaps elegans"
"Micrastur mintoni";"Micrastur mintoni";"FALCONIFORMES";"Falconidae";"Cryptic Forest-falcon";"Micrastur mintoni"
"Euphonia violacea";"Euphonia violacea";"PASSERIFORMES";"Fringillidae";"Violaceous Euphonia";"Euphonia violacea"
"Nectarinia olivacea";"Cyanomitra olivacea";"PASSERIFORMES";"Nectariniidae";"Olive Sunbird";"Cyanomitra olivacea"
"Ptilinopus insolitus";"Ptilinopus insolitus";"COLUMBIFORMES";"Columbidae";"Knob-billed Fruit-dove";"Ptilinopus insolitus"
"Illadopsis albipectus";"Illadopsis albipectus";"PASSERIFORMES";"Pellorneidae";"Scaly-breasted Illadopsis";"Illadopsis albipectus"
"Aviceda jerdoni";"Aviceda jerdoni";"ACCIPITRIFORMES";"Accipitridae";"Jerdon's Baza";"Aviceda jerdoni"
"Micrastur mirandollei";"Micrastur mirandollei";"FALCONIFORMES";"Falconidae";"Slaty-backed Forest-falcon";"Micrastur mirandollei"
"Pteroglossus beauharnaesii";"Pteroglossus beauharnaisii";"PICIFORMES";"Ramphastidae";"Curl-crested Araçari";"Pteroglossus beauharnaisii"
"Zosterops atricapilla";"Zosterops atricapilla";"PASSERIFORMES";"Zosteropidae";"Black-capped White-eye";"Zosterops atricapilla"
"Euplectes orix";"Euplectes orix";"PASSERIFORMES";"Ploceidae";"Southern Red Bishop";"Euplectes orix"
"Paroaria gularis";"Paroaria gularis";"PASSERIFORMES";"Thraupidae";"Red-capped Cardinal";"Paroaria gularis"
"Patagioenas squamosa";"Patagioenas squamosa";"COLUMBIFORMES";"Columbidae";"Scaly-naped Pigeon";"Patagioenas squamosa"
"Leucophaeus scoresbii";"Larus scoresbii";"CHARADRIIFORMES";"Laridae";"Dolphin Gull";"Leucophaeus scoresbii"
"Colius colius";"Colius colius";"COLIIFORMES";"Coliidae";"White-backed Mousebird";"Colius colius"
"Francolinus harwoodi";"Pternistis harwoodi";"GALLIFORMES";"Phasianidae";"Harwood's Spurfowl";"Pternistis harwoodi"
"Accipiter ovampensis";"Accipiter ovampensis";"ACCIPITRIFORMES";"Accipitridae";"Ovambo Sparrowhawk";"Accipiter ovampensis"
"Phylloscartes superciliaris";"Phylloscartes superciliaris";"PASSERIFORMES";"Tyrannidae";"Rufous-browed Tyrannulet";"Phylloscartes superciliaris"
"Syrmaticus mikado";"Syrmaticus mikado";"GALLIFORMES";"Phasianidae";"Mikado Pheasant";"Syrmaticus mikado"
"Vanellus miles";"Vanellus miles";"CHARADRIIFORMES";"Charadriidae";"Masked Lapwing";"Vanellus miles"
"Turnix castanotus";"Turnix castanotus";"CHARADRIIFORMES";"Turnicidae";"Chestnut-backed Buttonquail";"Turnix castanotus"
"Myrmotherula pacifica";"Myrmotherula pacifica";"PASSERIFORMES";"Thamnophilidae";"Pacific Antwren";"Myrmotherula pacifica"
"Turdoides sharpei";"Turdoides sharpei";"PASSERIFORMES";"Leiothrichidae";"Black-lored Babbler";"Turdoides sharpei"
"Phoeniculus bollei";"Phoeniculus bollei";"BUCEROTIFORMES";"Phoeniculidae";"White-headed Woodhoopoe";"Phoeniculus bollei"
"Ptilinopus insularis";"Ptilinopus insularis";"COLUMBIFORMES";"Columbidae";"Henderson Island Fruit-dove";"Ptilinopus insularis"
"Phaeochroa cuvierii";"Phaeochroa cuvierii";"CAPRIMULGIFORMES";"Trochilidae";"Scaly-breasted Sabrewing";"Phaeochroa cuvierii"
"Xiphorhynchus elegans";"Xiphorhynchus elegans";"PASSERIFORMES";"Furnariidae";"Elegant Woodcreeper";"Xiphorhynchus elegans"
"Gubernetes yetapa";"Gubernetes yetapa";"PASSERIFORMES";"Tyrannidae";"Streamer-tailed Tyrant";"Gubernetes yetapa"
"Parmoptila jamesoni";"Parmoptila jamesoni";"PASSERIFORMES";"Estrildidae";"Jameson's Antpecker";"Parmoptila jamesoni"
"Touit batavicus";"Touit batavicus";"PSITTACIFORMES";"Psittacidae";"Lilac-tailed Parrotlet";"Touit batavicus"
"Philydor ruficaudatum";"Anabacerthia ruficaudata";"PASSERIFORMES";"Furnariidae";"Rufous-tailed Foliage-gleaner";"Anabacerthia ruficaudata"
"Centropus milo";"Centropus milo";"CUCULIFORMES";"Cuculidae";"Buff-headed Coucal";"Centropus milo"
"Dicaeum tristrami";"Dicaeum tristrami";"PASSERIFORMES";"Dicaeidae";"Mottled Flowerpecker";"Dicaeum tristrami"
"Cochoa azurea";"Cochoa azurea";"PASSERIFORMES";"Turdidae";"Javan Cochoa";"Cochoa azurea"
"Cossypha dichroa";"Cossypha dichroa";"PASSERIFORMES";"Muscicapidae";"Chorister Robin-chat";"Cossypha dichroa"
"Cettia flavolivacea";"Horornis flavolivaceus";"PASSERIFORMES";"Scotocercidae";"Aberrant Bush-warbler";"Horornis flavolivaceus"
"Vini ultramarina";"Vini ultramarina";"PSITTACIFORMES";"Psittacidae";"Ultramarine Lorikeet";"Vini ultramarina"
"Rhinocrypta lanceolata";"Rhinocrypta lanceolata";"PASSERIFORMES";"Rhinocryptidae";"Crested Gallito";"Rhinocrypta lanceolata"
"Chalcostigma ruficeps";"Chalcostigma ruficeps";"CAPRIMULGIFORMES";"Trochilidae";"Rufous-capped Thornbill";"Chalcostigma ruficeps"
"Puffinus bulleri";"Ardenna bulleri";"PROCELLARIIFORMES";"Procellariidae";"Buller's Shearwater";"Ardenna bulleri"
"Heliodoxa rubinoides";"Heliodoxa rubinoides";"CAPRIMULGIFORMES";"Trochilidae";"Fawn-breasted Brilliant";"Heliodoxa rubinoides"
"Chondrohierax uncinatus";"Chondrohierax uncinatus";"ACCIPITRIFORMES";"Accipitridae";"Hook-billed Kite";"Chondrohierax uncinatus"
